topic1|message_payload|timestamp1,Date,Time,Temp,Humidity
iot/temperature|25.10|2023-10-31 18:04:23.111173,31-10-2023,18:04:23,25.1,61
iot/temperature|25.10|2023-10-31 18:04:33.629007,31-10-2023,18:04:33,25.1,61
iot/temperature|25.10|2023-10-31 18:04:44.355067,31-10-2023,18:04:44,25.1,61
iot/temperature|25.20|2023-10-31 18:04:54.918551,31-10-2023,18:04:54,25.2,61
iot/temperature|25.20|2023-10-31 18:05:05.653060,31-10-2023,18:05:05,25.2,61
iot/temperature|25.20|2023-10-31 18:05:16.217868,31-10-2023,18:05:16,25.2,61
iot/temperature|25.20|2023-10-31 18:05:29.481642,31-10-2023,18:05:29,25.2,61
iot/temperature|25.20|2023-10-31 18:05:38.216135,31-10-2023,18:05:38,25.2,61
iot/temperature|25.20|2023-10-31 18:05:48.971303,31-10-2023,18:05:48,25.2,61
iot/temperature|25.20|2023-10-31 18:06:00.036313,31-10-2023,18:06:00,25.2,61
iot/temperature|25.20|2023-10-31 18:06:10.607942,31-10-2023,18:06:10,25.2,61
iot/temperature|25.30|2023-10-31 18:06:21.544848,31-10-2023,18:06:21,25.3,61
iot/temperature|25.30|2023-10-31 18:06:31.997415,31-10-2023,18:06:31,25.3,61
iot/temperature|25.30|2023-10-31 18:06:42.751766,31-10-2023,18:06:42,25.3,61
iot/temperature|25.30|2023-10-31 18:06:56.646302,31-10-2023,18:06:56,25.3,61
iot/temperature|25.30|2023-10-31 18:07:07.426214,31-10-2023,18:07:07,25.3,61
iot/temperature|25.30|2023-10-31 18:07:19.497755,31-10-2023,18:07:19,25.3,62
iot/temperature|25.30|2023-10-31 18:07:34.485946,31-10-2023,18:07:34,25.3,62
iot/temperature|25.40|2023-10-31 18:07:41.832531,31-10-2023,18:07:41,25.4,62
iot/temperature|25.40|2023-10-31 18:07:54.103566,31-10-2023,18:07:54,25.4,62
iot/temperature|26.90|2023-10-31 18:08:06.083573,31-10-2023,18:08:06,26.9,89
iot/temperature|30.10|2023-10-31 18:08:19.148718,31-10-2023,18:08:19,30.1,95
iot/temperature|28.90|2023-10-31 18:08:29.719809,31-10-2023,18:08:29,28.9,94
iot/temperature|28.30|2023-10-31 18:08:40.335976,31-10-2023,18:08:40,28.3,93
iot/temperature|28.00|2023-10-31 18:08:50.978612,31-10-2023,18:08:50,28,92
iot/temperature|27.70|2023-10-31 18:09:02.134730,31-10-2023,18:09:02,27.7,90
iot/temperature|27.40|2023-10-31 18:09:13.888470,31-10-2023,18:09:13,27.4,90
iot/temperature|27.20|2023-10-31 18:09:24.451059,31-10-2023,18:09:24,27.2,89
iot/temperature|27.10|2023-10-31 18:17:34.713400,31-10-2023,18:17:34,27.1,88
iot/temperature|27.10|2023-10-31 18:17:45.321481,31-10-2023,18:17:45,27.1,63
iot/temperature|27.10|2023-10-31 18:17:55.905902,31-10-2023,18:17:55,27.1,63
iot/temperature|27.10|2023-10-31 18:18:06.655324,31-10-2023,18:18:06,27.1,64
iot/temperature|27.10|2023-10-31 18:18:17.413276,31-10-2023,18:18:17,27.1,64
iot/temperature|27.10|2023-10-31 18:18:28.166938,31-10-2023,18:18:28,27.1,64
iot/temperature|27.10|2023-10-31 18:18:38.934636,31-10-2023,18:18:38,27.1,64
iot/temperature|27.10|2023-10-31 18:18:49.664877,31-10-2023,18:18:49,27.1,64
iot/temperature|27.10|2023-10-31 18:19:00.417749,31-10-2023,18:19:00,27.1,64
iot/temperature|27.10|2023-10-31 18:19:11.174854,31-10-2023,18:19:11,27.1,64
iot/temperature|27.10|2023-10-31 18:19:26.863581,31-10-2023,18:19:26,27.1,64
iot/temperature|27.10|2023-10-31 18:19:35.871947,31-10-2023,18:19:35,27.1,64
iot/temperature|27.10|2023-10-31 18:19:47.540832,31-10-2023,18:19:47,27.1,64
iot/temperature|27.10|2023-10-31 18:19:58.187357,31-10-2023,18:19:58,27.1,64
iot/temperature|27.10|2023-10-31 18:20:08.840840,31-10-2023,18:20:08,27.1,64
iot/temperature|27.10|2023-10-31 18:20:21.560930,31-10-2023,18:20:21,27.1,64
iot/temperature|27.10|2023-10-31 18:20:32.180342,31-10-2023,18:20:32,27.1,64
iot/temperature|27.10|2023-10-31 18:20:44.273765,31-10-2023,18:20:44,27.1,64
iot/temperature|27.10|2023-10-31 18:21:03.973872,31-10-2023,18:21:03,27.1,64
iot/temperature|27.10|2023-10-31 18:21:05.581106,31-10-2023,18:21:05,27.1,64
iot/temperature|27.10|2023-10-31 18:21:17.342479,31-10-2023,18:21:17,27.1,64
iot/temperature|27.10|2023-10-31 18:21:28.081189,31-10-2023,18:21:28,27.1,65
iot/temperature|27.10|2023-10-31 18:21:39.147719,31-10-2023,18:21:39,27.1,65
iot/temperature|27.10|2023-10-31 18:21:49.889880,31-10-2023,18:21:49,27.1,65
iot/temperature|27.10|2023-10-31 18:22:00.648810,31-10-2023,18:22:00,27.1,65
iot/temperature|27.10|2023-10-31 18:22:11.392490,31-10-2023,18:22:11,27.1,65
iot/temperature|27.10|2023-10-31 18:22:22.898551,31-10-2023,18:22:22,27.1,65
iot/temperature|27.10|2023-10-31 18:22:33.625278,31-10-2023,18:22:33,27.1,65
iot/temperature|27.10|2023-10-31 18:22:46.930428,31-10-2023,18:22:46,27.1,65
iot/temperature|27.10|2023-10-31 18:22:57.600214,31-10-2023,18:22:57,27.1,65
iot/temperature|27.10|2023-10-31 18:23:08.544787,31-10-2023,18:23:08,27.1,65
iot/temperature|27.10|2023-10-31 18:23:19.125672,31-10-2023,18:23:19,27.1,65
iot/temperature|27.10|2023-10-31 18:23:30.050218,31-10-2023,18:23:30,27.1,65
iot/temperature|27.10|2023-10-31 18:23:40.618492,31-10-2023,18:23:40,27.1,65
iot/temperature|27.10|2023-10-31 18:23:51.250858,31-10-2023,18:23:51,27.1,65
iot/temperature|27.10|2023-10-31 18:24:01.998247,31-10-2023,18:24:01,27.1,65
iot/temperature|27.10|2023-10-31 18:24:13.764230,31-10-2023,18:24:13,27.1,65
iot/temperature|27.10|2023-10-31 18:24:24.334630,31-10-2023,18:24:24,27.1,65
iot/temperature|27.10|2023-10-31 18:24:35.257623,31-10-2023,18:24:35,27.1,65
iot/temperature|27.10|2023-10-31 18:24:46.120206,31-10-2023,18:24:46,27.1,65
iot/temperature|27.10|2023-10-31 18:24:56.872149,31-10-2023,18:24:56,27.1,65
iot/temperature|27.10|2023-10-31 18:25:07.623742,31-10-2023,18:25:07,27.1,65
iot/temperature|27.10|2023-10-31 18:25:18.374953,31-10-2023,18:25:18,27.1,65
iot/temperature|27.10|2023-10-31 18:25:31.498303,31-10-2023,18:25:31,27.1,65
iot/temperature|27.10|2023-10-31 18:25:42.296446,31-10-2023,18:25:42,27.1,65
iot/temperature|27.10|2023-10-31 18:26:22.105783,31-10-2023,18:26:22,27.1,65
iot/temperature|27.20|2023-10-31 18:26:35.033567,31-10-2023,18:26:35,27.2,65
iot/temperature|27.10|2023-10-31 18:26:43.484483,31-10-2023,18:26:43,27.1,65
iot/temperature|27.10|2023-10-31 18:26:54.990585,31-10-2023,18:26:54,27.1,65
iot/temperature|27.10|2023-10-31 18:27:05.597557,31-10-2023,18:27:05,27.1,65
iot/temperature|27.10|2023-10-31 18:27:17.166869,31-10-2023,18:27:17,27.1,65
iot/temperature|27.10|2023-10-31 18:27:27.732274,31-10-2023,18:27:27,27.1,65
