ID,date,time,temperature,humidity
2484,31-10-2023,18:04:23,25.1,61
2485,31-10-2023,18:04:33,25.1,61
2486,31-10-2023,18:04:44,25.1,61
2487,31-10-2023,18:04:54,25.2,61
2488,31-10-2023,18:05:05,25.2,61
2489,31-10-2023,18:05:16,25.2,61
2490,31-10-2023,18:05:29,25.2,61
2491,31-10-2023,18:05:38,25.2,61
2492,31-10-2023,18:05:48,25.2,61
2493,31-10-2023,18:06:00,25.2,61
2494,31-10-2023,18:06:10,25.2,61
2495,31-10-2023,18:06:21,25.3,61
2496,31-10-2023,18:06:31,25.3,61
2497,31-10-2023,18:06:42,25.3,61
2498,31-10-2023,18:06:56,25.3,61
2499,31-10-2023,18:07:07,25.3,61
2500,31-10-2023,18:07:19,25.3,62
2501,31-10-2023,18:07:34,25.3,62
2502,31-10-2023,18:07:41,25.4,62
2503,31-10-2023,18:07:54,25.4,62
2504,31-10-2023,18:08:06,26.9,89
2505,31-10-2023,18:08:19,30.1,95
2506,31-10-2023,18:08:29,28.9,94
2507,31-10-2023,18:08:40,28.3,93
2508,31-10-2023,18:08:50,28,92
2509,31-10-2023,18:09:02,27.7,90
2510,31-10-2023,18:09:13,27.4,90
2511,31-10-2023,18:09:24,27.2,89
2512,31-10-2023,18:17:34,27.1,88
2513,31-10-2023,18:17:45,27.1,63
2514,31-10-2023,18:17:55,27.1,63
2515,31-10-2023,18:18:06,27.1,64
2516,31-10-2023,18:18:17,27.1,64
2517,31-10-2023,18:18:28,27.1,64
2518,31-10-2023,18:18:38,27.1,64
2519,31-10-2023,18:18:49,27.1,64
2520,31-10-2023,18:19:00,27.1,64
2521,31-10-2023,18:19:11,27.1,64
2522,31-10-2023,18:19:26,27.1,64
2523,31-10-2023,18:19:35,27.1,64
2524,31-10-2023,18:19:47,27.1,64
2525,31-10-2023,18:19:58,27.1,64
2526,31-10-2023,18:20:08,27.1,64
2527,31-10-2023,18:20:21,27.1,64
2528,31-10-2023,18:20:32,27.1,64
2529,31-10-2023,18:20:44,27.1,64
2530,31-10-2023,18:21:03,27.1,64
2531,31-10-2023,18:21:05,27.1,64
2532,31-10-2023,18:21:17,27.1,64
2533,31-10-2023,18:21:28,27.1,65
2534,31-10-2023,18:21:39,27.1,65
2535,31-10-2023,18:21:49,27.1,65
2536,31-10-2023,18:22:00,27.1,65
2537,31-10-2023,18:22:11,27.1,65
2538,31-10-2023,18:22:22,27.1,65
2539,31-10-2023,18:22:33,27.1,65
2540,31-10-2023,18:22:46,27.1,65
2541,31-10-2023,18:22:57,27.1,65
2542,31-10-2023,18:23:08,27.1,65
2543,31-10-2023,18:23:19,27.1,65
2544,31-10-2023,18:23:30,27.1,65
2545,31-10-2023,18:23:40,27.1,65
2546,31-10-2023,18:23:51,27.1,65
2547,31-10-2023,18:24:01,27.1,65
2548,31-10-2023,18:24:13,27.1,65
2549,31-10-2023,18:24:24,27.1,65
2550,31-10-2023,18:24:35,27.1,65
2551,31-10-2023,18:24:46,27.1,65
2552,31-10-2023,18:24:56,27.1,65
2553,31-10-2023,18:25:07,27.1,65
2554,31-10-2023,18:25:18,27.1,65
2555,31-10-2023,18:25:31,27.1,65
2556,31-10-2023,18:25:42,27.1,65
2557,31-10-2023,18:26:22,27.1,65
2558,31-10-2023,18:26:35,27.2,65
2559,31-10-2023,18:26:43,27.1,65
2560,31-10-2023,18:26:54,27.1,65
2561,31-10-2023,18:27:05,27.1,65
2562,31-10-2023,18:27:17,27.1,65
2563,31-10-2023,18:27:27,27.1,65
2564,17/11/2023,6:58,14,16
